"id","sku","name","slugs (products)","canonical_uuid","Product (subcategory_id)","subcategory_id","name","slugs (subcategories)","canonical_uuid","Id (category)","name","slug","category_id","canonical_uuid","sort_order"
20,"postcards14pt_uv","Postcards 14PT + UV","postcards-14pt-uv","59036bbc-390f-4da9-800b-fcd2dc2baff5",11,14,"postcard-enveloped-and-addressed-postage-included","postcard-enveloped-and-addressed-postage-included-14",,,,,,,
23,"postcards_14pt_matteaq","Postcards 14PT + Matte Finish","postcards-14pt-matte-finish","bb65fe87-e528-4f74-9abd-b5131031b954",11,15,"Unaddressed-postcard","unaddressed-postcard-15",,,,,,,
24,"postcards_16pt_mattelam","Postcards 18PT Matte / Silk Lamination","postcards-18pt-matte-silk-lamination","5a15da48-4ce0-45be-999a-757705c9cdf1",12,16,"standard_bookmark","standard-bookmark-16",,,,,,,
25,"postcards_16pt_glosslam","Postcards 18PT Gloss Lamination","postcards-18pt-gloss-lamination","2401cf83-f07f-44d8-9749-c497193f7d2d",12,17,"specialty_bookmark","specialty-bookmark-17",,,,,,,
26,"postcards_10pt_aq","Postcards 10PT + AQ","postcards-10pt-aq","9fb6d0f8-7d8c-4d51-859d-df76f27bb843",11,18,"Standard-rack-cards","standard-rack-cards-18",,,,,,,
27,"postcards_14ptc1s_aq","Postcards 14pt Writable + AQ (C1S)","postcards-14pt-writable-aq-c1s","0470de1e-7b5b-4a76-9c5b-24657c2ecbb2",11,19,"standard_tear_cards","standard-tear-cards-19",,,,,,,
28,"postcards_14ptc1s_uv","Postcards 14pt Writable + UV (C1S)","postcards-14pt-writable-uv-c1s","c68e9828-55b2-4b5a-b402-dee8ce0b4ab8",11,20,"posters","posters-20",,,,,,,
29,"postcards_13pt_enviro","Postcards 13pt Enviro Uncoated","postcards-13pt-enviro-uncoated","7c666025-e13b-4a5a-88fe-5f72e0871fa5",12,21,"door_hangers","door-hangers-21",,,,,,,
30,"businesscard_16pt_matte_lam_spot_uv","Business cards 18pt Matte Lam + SPOT UV","business-cards-18pt-matte-lam-spot-uv","8065c970-d088-40c3-824c-1f44e8cdbc97",2,22,"brochures","brochures-22",,,,,,,
31,"businesscard_13pt_linen_uncoated","Business cards 13pt Linen Uncoated","business-cards-13pt-linen-uncoated","cbd8a404-6768-4170-a3d3-1bd2076e5d89",2,23,"Brochure-enveloped-and-addressed-postage-due","brochure-enveloped-and-addressed-postage-due-23",,,,,,,
32,"postcards_16pt_aq","Postcards 16pt + AQ","postcards-16pt-aq","ff9992c7-7120-4550-b5c3-61e08b8f8a7c",12,24,"Brochure-enveloped-and-addressed-postage-included","brochure-enveloped-and-addressed-postage-included-24",,,,,,,
33,"postcards_16pt_uv","Postcards 16pt + UV","postcards-16pt-uv","180c4a81-09d0-4dd3-9cc2-8c91b8e86810",12,25,"magnets","magnets-25",,,,,,,
34,"postcards_16pt_matteaq","Postcards 16pt + Matte Finish","postcards-16pt-matte-finish","02fd0cb2-4e03-49af-b898-d67dcfef60b7",11,26,"booklets","booklets-26",,,,,,,
35,"postcards_13pt_linen","Postcards 13pt Linen Uncoated","postcards-13pt-linen-uncoated","c6d9bf97-018c-47ae-8081-1daf4b8616a1",12,27,"Digital-sheets","digital-sheets-27",,,,,,,
37,"flyers_100lb_gloss","Flyers 100lb Gloss Text","flyers-100lb-gloss-text","801619fc-20d8-4286-9300-5d1e1eac331a",7,28,"variable_printing","variable-printing-28",,,,,,,
38,"flyers_100lb_uv","Flyers 100LB + UV (High Gloss)","flyers-100lb-uv-high-gloss","cbbe012b-27f8-428f-a2b5-455a926c808a",8,29,"presentation_folders","presentation-folders-29",,,,,,,
39,"flyers_100lb_matteaq","Flyers 100lb + Matte Finish","flyers-100lb-matte-finish","3dbb4fbe-55a4-44dd-930d-81e85fb764a9",7,30,"Canvas","canvas-30",,,,,,,
40,"flyers_80lb_enviro","Flyers 80LB Enviro Uncoated","flyers-80lb-enviro-uncoated","361857b2-a227-486b-8507-2b6395fb4f0f",8,31,"plastic","plastic-31",,,,,,,
41,"flyers_70lb_linen","Flyers 70LB Linen Uncoated","flyers-70lb-linen-uncoated","3a5079e4-0b0d-4836-b8b2-a0c10dd578d2",8,32,"clings_transparent","clings-transparent-32",,,,,,,
43,"brochures_100lb_gloss","Brochures 100LB Gloss Text","brochures-100lb-gloss-text","b191b7d3-18c1-4449-926a-314e70248255",22,33,"clings_opaque","clings-opaque-33",,,,,,,
44,"brochures_100lb_uv","Brochures 100lb + UV (High Gloss)","brochures-100lb-uv-high-gloss","c6eeaaaf-60da-46a2-bba2-dbbe0d60cb71",22,34,"tent_cards","tent-cards-34",,,,,,,
45,"brochures_100lb_matteaq","Brochures 100lb + Matte Finish","brochures-100lb-matte-finish","a4daab8a-e128-42b0-b12b-82de5845d508",22,35,"notepads_50_pages","notepads-50-pages-35",,,,,,,
46,"brochures_80lb_enviro","Brochures 80lb Enviro Uncoated","brochures-80lb-enviro-uncoated","f33b96d5-5b64-4d86-a87c-5283563bbdc9",22,36,"Notepads_25_pages","notepads-25-pages-36",,,,,,,
48,"greetingcards_14pt_aq","Greeting Cards 14pt + AQ","greeting-cards-14pt-aq","5dbb0be1-26b7-4a01-80c4-19cea08ffcd9",9,37,"number_tickets","number-tickets-37",,,,,,,
49,"greetingcards_14pt_uv","Greeting Cards 14pt + UV (High Gloss)","greeting-cards-14pt-uv-high-gloss","51a4e578-c78c-468f-bf61-e20c36acf2a0",9,50,"banners","banners-50",,,,,,,
50,"greetingcards_14pt_matteaq","Greeting Cards 14pt + Matte Finish","greeting-cards-14pt-matte-finish","e7c265fd-38c2-4745-8377-0842e305cae6",9,51,"pull_up_banners","pull-up-banners-51",,,,,,,
51,"greetingcards_14c1s_aq","Greeting Cards 14pt Writable + AQ (C1S)","greeting-cards-14pt-writable-aq-c1s","340d106a-0daf-4e13-9ec0-8a0ccc56f2aa",10,52,"x_frame_banners","x-frame-banners-52",,,,,,,
52,"greetingcards_14ptc1s_uv","Greeting Cards 14pt Writable + UV (C1S)","greeting-cards-14pt-writable-uv-c1s","39701234-a7d0-43a7-8e8d-3518c27156aa",10,53,"4mm_foam_board","4mm-foam-board-53",,,,,,,
53,"greetingcards_13pt_enviro","Greeting Cards 13pt Enviro Uncoated","greeting-cards-13pt-enviro-uncoated","da61b34e-5d6e-4c3e-9eb7-34a003f230ca",10,54,"a_frame_signs","a-frame-signs-54",,,,,,,
54,"booklets_80lb_85x55","Booklets 80lb Gloss Text (8.5 x 5.5)","booklets-80lb-gloss-text-8-5-x-5-5","a2096700-7e86-4191-874e-6a11b0c80bc4",26,55,"Cut-to-shape-permanent-decals","cut-to-shape-permanent-decals-55",,,,,,,
55,"booklets_80lb_85x11","Booklets 80lb Gloss Text (8.5 x 11)","booklets-80lb-gloss-text-8-5-x-11","dc527855-be1d-4dc7-9ca9-16e9ba542747",26,56,"cut_shape_removable_decals","cut-shape-removable-decals-56",,,,,,,
56,"booklets_100lb_85x55","Booklets 100lb Gloss Text (8.5 x 5.5)","booklets-100lb-gloss-text-8-5-x-5-5","7c41ae19-1d85-426f-8156-75745bfd63ea",26,57,"3mm-aluminum-signs_1","3mm-aluminum-signs-1-57",,,,,,,
57,"booklets_100lb_85x11","Booklets 100lb Gloss Text (8.5 x 11)","booklets-100lb-gloss-text-8-5-x-11","d488ac3e-55ff-48dc-9f2c-974ea73021f7",26,58,"table_covers","table-covers-58",,,,,,,
58,"presentationfolders_14pt_aq","Presentation Folders 14PT + AQ","presentation-folders-14pt-aq","4370ddf8-d0a1-43f6-a6d9-209af3d40088",29,59,"car-magnets-30mil_2","car-magnets-30mil-2-59",,,,,,,
59,"presentationfolders_14pt_matteaq","Presentation Folders 14PT + Matte Finish","presentation-folders-14pt-matte-finish","4a78ae53-5669-4794-ab52-e31c0bdfac74",29,60,"coroplast","coroplast-60",,,,,,,
