"id","sku","name","slugs (products)","canonical_uuid","Product (subcategory_id)","subcategory_id","name","slugs (subcategories)","canonical_uuid","Id (category)","name","slug","category_id","canonical_uuid","sort_order"
7545,"metallic_foil_postcards","Metallic Foil Postcards","metallic-foil-postcards","c2ef25a2-45f6-47eb-b6ce-f66c873590a6",12,,,,,,,,,,
7546,"durable_postcards","Durable Postcards","durable-postcards","cd8bc542-3ea7-47b3-b656-38bf0e55b4ff",12,,,,,,,,,,
7547,"table_top_pull-up_banners","Table Top Pull Up Banner 13 oz Matte Vinyl","table-top-pull-up-banner-13-oz-matte-vinyl","e67fb8ca-7b07-4164-93d1-8f5c981718ce",51,,,,,,,,,,
7548,"premium_wide_pull_up_banners","Premium Wide Pull Up Banners 13 oz Matte Vinyl","premium-wide-pull-up-banners-13-oz-matte-vinyl","af2c7057-95d5-4a1b-ae1e-1940608cf12a",51,,,,,,,,,,
7549,"double_sided_pull_up_banners","Double Sided Pull Up Banners 13 oz Matte Vinyl","double-sided-pull-up-banners-13-oz-matte-vinyl","0d59ff36-1c1b-40ff-82ee-cfa73c344d53",51,,,,,,,,,,
7550,"metallic_foil_greeting_cards","Metallic Foil Greeting Cards","metallic-foil-greeting-cards","63b17313-7e49-4e6a-8816-e8a5215a9757",10,,,,,,,,,,
7551,"spot_uv_greeting_cards","Spot UV Greeting Cards","spot-uv-greeting-cards","97d21166-165e-439d-9a77-d392145e7c5c",10,,,,,,,,,,
7552,"pearl_paper_greeting_cards","Pearl Paper Greeting Cards","pearl-paper-greeting-cards","bc565f2e-9e2c-45ef-8f85-2ae9b8809213",10,,,,,,,,,,
7553,"kraft_paper_greeting_cards","Kraft Paper Greeting Cards","kraft-paper-greeting-cards","0fd83dd4-71f2-460f-ae8c-eb2838ff1e7a",10,,,,,,,,,,
7554,"mesh_banners_8oz_polyester","Mesh Banner 8oz Polyester Mesh","mesh-banner-8oz-polyester-mesh","c4e20e08-36dd-4638-94a7-11a0efd1b3f5",50,,,,,,,,,,
7555,"removable-wall_decals_7_mil","Removable Wall Decals 7 Mil","removable-wall-decals-7-mil","f674e389-57b8-40c7-b540-87e105d174e8",56,,,,,,,,,,
7557,"die_cut_business_cards","Die Cut Business Cards ","die-cut-business-cards","7fc46674-2564-4434-b142-051360fc5162",2,,,,,,,,,,
7567,"soft_touch_business_cards","Soft Touch Business Cards","soft-touch-business-cards","0209fa7e-4036-4f38-a186-69c986cd1701",2,,,,,,,,,,
14672,"social-distancing-floor-stickers","Social Distancing Floor Stickers","social-distancing-floor-stickers","7b8a3a3b-3d63-4fea-b39c-71915cda7835",63,,,,,,,,,,
14676,"floor-graphics","Floor Graphics","floor-graphics","f334070f-d918-4ec5-95a2-d2079986d804",63,,,,,,,,,,
14678,"booklets_offset_60lb_85x11","Booklets 60lb Offset Text (8.5 x 11)","booklets-60lb-offset-text-8-5-x-11","807018f7-29cf-414b-9c8e-cb7d569616f5",26,,,,,,,,,,
14679,"booklets_offset_60lb_85x55","Booklets 60lb Offset Text (8.5 x 5.5)","booklets-60lb-offset-text-8-5-x-5-5","77b5505d-2b91-4378-8517-755ff4293d0e",26,,,,,,,,,,
14959,"cut_to_shape_removable_decals","Cut to Shape Removable Decals","cut-to-shape-removable-decals","839c0a49-7e60-42e2-b312-beaf77d28ea4",56,,,,,,,,,,
14960,"cut_to_shape_permanent_decals","Cut to Shape Permanent Decals","cut-to-shape-permanent-decals","1a5b4c43-2a47-4cd5-a8e9-c4e2b7738ced",55,,,,,,,,,,
14972,"social_distancing_signage","Social Distancing Signage","social-distancing-signage","988d3040-e9bb-40ff-b73d-75d7ca695d0e",57,,,,,,,,,,
14975,"10mm_coroplast","10mm Coroplast","10mm-coroplast","82f79521-4a5a-4d47-9336-efdd26e4a00e",60,,,,,,,,,,
14978,"3mm-aluminum-signs","3mm Aluminum Signs","3mm-aluminum-signs","2d1ae008-7a2a-4307-9831-2804527a5fd9",57,,,,,,,,,,
14979,"booklets_80lb_silk_text_85x55","Booklets 80lb Silk Text (8.5 x 5.5)","booklets-80lb-silk-text-8-5-x-5-5","aa075caf-d8d1-4abd-b5a7-ccf2e411973e",26,,,,,,,,,,
14980,"booklets_80lb_silk_text_85x11","Booklets 80lb Silk Text (8.5 x 11)","booklets-80lb-silk-text-8-5-x-11","ba0c6c1d-f42a-4432-9c00-e86b674fef33",26,,,,,,,,,,
14981,"cut-to-shape-magnets-30mil","Cut to Shape Magnets (30mil)","cut-to-shape-magnets-30mil","a775b651-6cda-4cb7-9016-8c4160f4d07b",6,,,,,,,,,,
14982,"booklets_100lb_silk_text_85x55","Booklets 100lb Silk Text (8.5 x 5.5)","booklets-100lb-silk-text-8-5-x-5-5","6b295f1c-e733-4ad4-85d5-d5906852af33",26,,,,,,,,,,
14983,"booklets_100lb_silk_text_85x11","Booklets 100lb Silk Text (8.5 x 11)","booklets-100lb-silk-text-8-5-x-11","ef30a22b-786a-4431-afca-bef70c20b5ab",26,,,,,,,,,,
14985,"cut-to-shape-magnets-20mil","Cut to Shape Magnets (20mil)","cut-to-shape-magnets-20mil","1c46a426-d9e7-4df8-b268-c12aa2f80e77",6,,,,,,,,,,
14987,"table-covers-6-ft-table","Table Covers (6 ft Table)","table-covers-6-ft-table","7137a275-a7f6-4739-980e-6d4d0e54b60f",58,,,,,,,,,,
14988,"table-covers-8-ft-table","Table Covers (8 ft Table)","table-covers-8-ft-table","3b2d10ac-e423-4a48-85e8-ddd4d12d7141",58,,,,,,,,,,
15005,"invitations-14pt-matte-finish","Invitations 14pt + Matte Finish","invitations-14pt-matte-finish","cec38b35-e48e-4ad0-b232-3e8bd17f6b52",3,,,,,,,,,,
15006,"invitations-14pt-writable-aq-C1S","Invitations 14pt Writable + AQ (C1S)","invitations-14pt-writable-aq-c1s","fc3ba35b-362d-4867-9c3a-cf6fface54ec",4,,,,,,,,,,
15007,"invitations-14pt-aq","Invitations 14pt + AQ","invitations-14pt-aq","8ece209b-1967-4b2f-9dac-4f56e70c3f6a",4,,,,,,,,,,
15008,"invitations-14pt-uv-high-gloss","Invitations 14pt + UV (High Gloss)","invitations-14pt-uv-high-gloss","a57954ce-b434-435e-bbee-1278d8768cec",4,,,,,,,,,,
15010,"pearl-paper-invitations","Pearl Paperl Invitations","pearl-paperl-invitations","9885c157-1165-4120-94ce-ad0af5cdeaea",4,,,,,,,,,,
15011,"metallic-foil-invitations","Metallic Foil Invitations","metallic-foil-invitations","c7c5afa0-cf11-49de-ace4-958424368eba",4,,,,,,,,,,
15022,"ultra-smooth-business-cards","Ultra Smooth Business Cards","ultra-smooth-business-cards","f204d9c1-0287-4a0f-b50d-89e6302b1d00",2,,,,,,,,,,
15193,"pullupbanner_13oz_v2","Pull Up Banners 13oz Matte Vinyl Blackbase (31.5 x 78.75)","pull-up-banners-13oz-matte-vinyl-blackbase-31-5-x-78-75","9daa9717-fedd-4db0-a4f6-1be0fa34eb64",51,,,,,,,,,,
16930,"willow_labels","Willowpack Roll Labels","willowpack-roll-labels","462619d2-e5f5-4049-9580-f0b261c9b51a",120,,,,,,,,,,
